         1283159 function calls in 0.919 seconds

   Ordered by: internal time
   List reduced from 103 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45000    0.095    0.000    0.167    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:2383(norm)
       50    0.085    0.002    0.253    0.005 /home/cytrex/abm2/digital-lab/backend/political_abm/model.py:236(get_model_report)
     7500    0.062    0.000    0.224    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/managers/media_manager.py:20(select_source_for_agent)
    90200    0.050    0.000    0.050    0.000 {built-in method numpy.array}
    45000    0.049    0.000    0.089    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/types.py:54(calculate_political_position)
       50    0.046    0.001    0.175    0.004 /home/cytrex/abm2/digital-lab/backend/political_abm/simulation_cycle.py:224(_classify_agents_into_milieus)
      100    0.045    0.000    0.099    0.001 /home/cytrex/abm2/digital-lab/backend/political_abm/model.py:25(gini)
    45000    0.037    0.000    0.037    0.000 {method 'dot' of 'numpy.ndarray' objects}
    22700    0.036    0.000    0.036    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:90(_clip)
   112500    0.029    0.000    0.029    0.000 {built-in method builtins.min}
    15900    0.024    0.000    0.024    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   107402    0.023    0.000    0.023    0.000 {built-in method builtins.max}
       50    0.020    0.000    0.660    0.013 /home/cytrex/abm2/digital-lab/backend/political_abm/simulation_cycle.py:13(run_step)
    22700    0.019    0.000    0.055    0.000 {method 'clip' of 'numpy.generic' objects}
     7500    0.018    0.000    0.049    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/agents.py:87(learn_from_media)
     7500    0.018    0.000    0.023    0.000 /usr/lib/python3.12/random.py:454(choices)
       50    0.014    0.000    0.039    0.001 /home/cytrex/abm2/digital-lab/backend/political_abm/managers/resource_manager.py:12(_handle_consumption_saving)
     7500    0.014    0.000    0.014    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/simulation_cycle.py:147(<genexpr>)
    22700    0.014    0.000    0.080    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2100(clip)
     7500    0.014    0.000    0.039    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/agents.py:60(learn)
     7500    0.014    0.000    0.014    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/model.py:278(<genexpr>)
    45000    0.013    0.000    0.013    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    15000    0.013    0.000    0.037    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
    15000    0.011    0.000    0.050    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2177(sum)
       50    0.010    0.000    0.069    0.001 /home/cytrex/abm2/digital-lab/backend/political_abm/managers/resource_manager.py:40(update_agent_resources)
    91850    0.009    0.000    0.009    0.000 {built-in method builtins.issubclass}
    22700    0.008    0.000    0.067    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
    45000    0.008    0.000    0.012    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:140(isComplexType)
       50    0.008    0.000    0.029    0.001 /home/cytrex/abm2/digital-lab/backend/political_abm/simulation_cycle.py:135(_update_environment_parameters)
    53651    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     7500    0.007    0.000    0.007    0.000 {method 'lognormal' of 'numpy.random.mtrand.RandomState' objects}
    37500    0.007    0.000    0.038    0.000 {built-in method builtins.next}
     7500    0.007    0.000    0.013    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/agents.py:111(update_psychological_states)
     7500    0.006    0.000    0.006    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/agents.py:22(decide_and_act)
       50    0.006    0.000    0.010    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/managers/hazard_manager.py:12(trigger_events)
       50    0.005    0.000    0.019    0.000 /home/cytrex/abm2/digital-lab/backend/political_abm/simulation_cycle.py:118(_classify_agents_into_templates)
     7600    0.005    0.000    0.006    0.000 {built-in method builtins.sum}
    45000    0.005    0.000    0.005    0.000 {built-in method numpy.asarray}
    45000    0.004    0.000    0.004    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:2379(_norm_dispatcher)
     1100    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}


